Ablennes hians
Lampanyctus intricarius
Lampanyctus macdonaldi
Lampanyctus nobilis
Lampanyctus pusillus
Lampanyctus tenuiformis
Lampetra fluviatilis
Lampris guttatus
Lamprogrammus brunswigi
Lamprogrammus exutus
Lamprogrammus shcherbachevi
Lappanella fasciata
Lasiognathus beebei
Lasiognathus saccostoma
Lebetus guilleti
Lebetus scorpioides
Lepadogaster candolii
Lepadogaster lepadogaster
Lepadogaster purpurea
Lepidion eques
Lepidion guentheri
Lepidion lepidion
Lepidocybium flavobrunneum
Lepidophanes gaussi
Lepidophanes guentheri
Lepidopus caudatus
Lepidorhombus boscii
Lepidorhombus whiffiagonis
Lepidotrigla cadmani
Lepidotrigla carolae
Lepidotrigla cavillone
Lepidotrigla dieuzeidei
Lepomis gibbosus
Leptagonus decagonus
Leptocharias smithii
Leptochilichthys agassizii
Leptochilichthys pinguis
Leptoclinus maculatus
Leptoderma macrops
Leptostomias gladiator
Leptostomias gracilis
Leptostomias haplocaulus
Leptostomias longibarba
Lestidiops affinis
Lestidiops cadenati
Lestidiops jayakari
Lestidiops pseudosphyraenoides
Lestidiops sphyrenoides
Lestidium atlanticum
Lestrolepis intermedia
Lesueurigobius friesii
Lesueurigobius heterofasciatus
Lesueurigobius sanzi
Lesueurigobius suerii
Lethenteron camtschaticum
Lethrinus atlanticus
Leucaspius delineatus
Leuciscus aspius
Leuciscus idus
Leuciscus leuciscus
Leucoraja circularis
Leucoraja fullonica
Leucoraja leucosticta
Leucoraja melitensis
Leucoraja naevus
Lichia amia
Limanda limanda
Linophryne arborifera
Linophryne arcturi
Linophryne brevibarbata
Linophryne lucifer
Linophryne maderensis
Linophryne pennibarbata
Linophryne polypogon
Linophryne sexfilis
Liopsetta glacialis
Liparis barbatus
Liparis bathyarcticus
Liparis fabricii
Liparis gibbus
Liparis liparis
Liparis montagui
Liparis tunicatus
Lipophrys pholis
Lipophrys trigloides
Lithognathus mormyrus
Liza carinata
Lobianchia dofleini
Lobianchia gemellarii
Lobotes surinamensis
Lophiodes kempi
Lophius budegassa
Lophius piscatorius
Lophius vaillanti
Lophotus lacepede
Lota lota
Loweina rara
Lumpenus fabricii
Lumpenus lampretaeformis
Lutjanus agennes
Lutjanus argentimaculatus
Lutjanus dentatus
Lutjanus fulgens
Lutjanus goreensis
Lutjanus jocu
Luvarus imperialis
Lycenchelys alba
Lycenchelys kolthoffi
Lycenchelys muraena
Lycenchelys sarsii
Lycodes adolfi
Lycodes esmarkii
Lycodes eudipleurostictus
Lycodes frigidus
Lycodes gracilis
Lycodes luetkenii
Lycodes paamiuti
Lycodes pallidus
Lycodes polaris
Lycodes reticulatus
Lycodes rossi
Lycodes seminudus
