"Kingdom" "Phylum" "Class_Gigaclass" "Order" "Family" "Genus" "Species_Name" "COI" "12S" "16S" "cytb"
"Animalia" "Chordata" "Actinopteri" "Lophiiformes" "Antennariidae" "Antennarius" "Antennarius striatus" 25 7 10 1
"Animalia" "Chordata" "Actinopteri" "Lophiiformes" "Antennariidae" "Antennatus" "Antennatus nummifer" 5 0 2 1
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Serranidae" "Anthias" "Anthias anthias" 17 1 1 5
"Animalia" "Chordata" "Actinopteri" "Acanthuriformes" "Caproidae" "Antigonia" "Antigonia capros" 16 5 4 3
"Animalia" "Chordata" "Actinopteri" "Gadiformes" "Moridae" "Antimora" "Antimora rostrata" 36 3 1 0
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Ophidiidae" "Apagesoma" "Apagesoma delosommatus" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Cyprinodontiformes" "Cyprinodontidae" "Aphanius" "Aphanius dispar" 14 17 6 10
"Animalia" "Chordata" "Actinopteri" "Cyprinodontiformes" "Cyprinodontidae" "Aphanius" "Aphanius fasciatus" 47 7 89 23
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Trichiuridae" "Aphanopus" "Aphanopus carbo" 82 4 2 111
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Trichiuridae" "Aphanopus" "Aphanopus intermedius" 74 0 0 3
"Animalia" "Chordata" "Actinopteri" "Gobiiformes" "Gobiidae" "Aphia" "Aphia minuta" 16 4 15 12
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Aphyonidae" "Aphyonus" "Aphyonus gelatinosus" 1 0 1 0
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Aphyonidae" "Aphyonus" "Aphyonus rassi" 3 0 0 0
"Animalia" "Chordata" "Actinopteri" "Gobiesociformes" "Gobiesocidae" "Apletodon" "Apletodon bacescui" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Gobiesociformes" "Gobiesocidae" "Apletodon" "Apletodon dentatus" 1 5 3 0
"Animalia" "Chordata" "Actinopteri" "Gobiesociformes" "Gobiesocidae" "Apletodon" "Apletodon incognitus" 1 3 1 0
"Animalia" "Chordata" "Actinopteri" "Gobiesociformes" "Gobiesocidae" "Apletodon" "Apletodon pellegrini" 0 0 0 0
"Animalia" "Chordata" "Actinopteri" "Kurtiformes" "Apogonidae" "Apogon" "Apogon imberbis" 1 4 3 21
"Animalia" "Chordata" "Actinopteri" "Kurtiformes" "Apogonidae" "Apogonichthyoides" "Apogonichthyoides nigripinnis" 3 2 1 0
"Animalia" "Chordata" "Actinopteri" "Kurtiformes" "Apogonidae" "Apogonichthyoides" "Apogonichthyoides pharaonis" 3 0 2 0
"Animalia" "Chordata" "Actinopteri" "Kurtiformes" "Apogonidae" "Apogonichthyoides" "Apogonichthyoides taeniatus" 14 1 1 1
