"Kingdom" "Phylum" "Class_Gigaclass" "Order" "Family" "Genus" "Species_Name"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Aristostomias" "Aristostomias polydactylus"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Aristostomias" "Aristostomias xenostoma"
"Animalia" "Chordata" "Actinopteri" "Siluriformes" "Ariidae" "Arius" "Arius latiscutatus"
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus capensis"
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus grohmanni"
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus imperialis"
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus kessleri"
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus laterna"
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus rueppelii"
"Animalia" "Chordata" "Actinopteri" "Pleuronectiformes" "Bothidae" "Arnoglossus" "Arnoglossus thori"
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Tetraodontidae" "Arothron" "Arothron hispidus"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Cottidae" "Artediellus" "Artediellus atlanticus"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Cottidae" "Artediellus" "Artediellus scaber"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Cottidae" "Artediellus" "Artediellus uncinatus"
"Animalia" "Chordata" "Actinopteri" "Perciformes" "Agonidae" "Aspidophoroides" "Aspidophoroides olrikii"
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Asquamiceps" "Asquamiceps caeruleus"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes caulophorus"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes gemmifer"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes indicus"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes leucopogon"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes macropogon"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes micropogon"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes neopogon"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes niger"
"Animalia" "Chordata" "Actinopteri" "Stomiiformes" "Stomiidae" "Astronesthes" "Astronesthes richardsoni"
"Animalia" "Chordata" "Actinopteri" "Atheriniformes" "Atherinidae" "Atherina" "Atherina boyeri"
"Animalia" "Chordata" "Actinopteri" "Atheriniformes" "Atherinidae" "Atherina" "Atherina hepsetus"
"Animalia" "Chordata" "Actinopteri" "Atheriniformes" "Atherinidae" "Atherina" "Atherina presbyter"
"Animalia" "Chordata" "Actinopteri" "Atheriniformes" "Atherinidae" "Atherinomorus" "Atherinomorus forskalii"
"Animalia" "Chordata" "Actinopteri" "Atheriniformes" "Atherinidae" "Atherinomorus" "Atherinomorus lacunosus"
"Animalia" "Chordata" "Actinopteri" "Eupercaria" "Sciaenidae" "Atractoscion" "Atractoscion aequidens"
"Animalia" "Chordata" "Actinopteri" "Aulopiformes" "Aulopidae" "Aulopus" "Aulopus filamentosus"
"Animalia" "Chordata" "Actinopteri" "Syngnathiformes" "Aulostomidae" "Aulostomus" "Aulostomus strigosus"
"Animalia" "Chordata" "Actinopteri" "Trachichthyiformes" "Trachichthyidae" "Aulotrachichthys" "Aulotrachichthys sajademalensis"
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Scombridae" "Auxis" "Auxis rochei"
"Animalia" "Chordata" "Actinopteri" "Scombriformes" "Scombridae" "Auxis" "Auxis thazard"
"Animalia" "Chordata" "Actinopteri" "Anguilliformes" "Nemichthyidae" "Avocettina" "Avocettina infans"
"Animalia" "Chordata" "Actinopteri" "Gobiiformes" "Gobiidae" "Awaous" "Awaous lateristriga"
"Animalia" "Chordata" "Actinopteri" "Gobiiformes" "Gobiidae" "Babka" "Babka gymnotrachelus"
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Bajacalifornia" "Bajacalifornia calcarata"
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Alepocephalidae" "Bajacalifornia" "Bajacalifornia megalops"
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Balistidae" "Balistes" "Balistes capriscus"
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Balistidae" "Balistes" "Balistes punctatus"
"Animalia" "Chordata" "Actinopteri" "Tetraodontiformes" "Balistidae" "Balistes" "Balistes vetula"
"Animalia" "Chordata" "Actinopteri" "Cypriniformes" "Cyprinidae" "Ballerus" "Ballerus ballerus"
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Aphyonidae" "Barathronus" "Barathronus multidens"
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Aphyonidae" "Barathronus" "Barathronus parfaiti"
"Animalia" "Chordata" "Actinopteri" "Ophidiiformes" "Aphyonidae" "Barathronus" "Barathronus unicolor"
"Animalia" "Chordata" "Actinopteri" "Alepocephaliformes" "Platytroctidae" "Barbantus" "Barbantus curvifrons"
"Animalia" "Chordata" "Actinopteri" "Cypriniformes" "Nemacheilidae" "Barbatula" "Barbatula barbatula"
"Animalia" "Chordata" "Actinopteri" "Beryciformes" "Barbourisiidae" "Barbourisia" "Barbourisia rufa"
