"Species"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"total_sequences"
"Sciaena_umbra"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sciaenidae"	"Sciaena"	1
"Sciaenops_ocellatus"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sciaenidae"	"Sciaenops"	2
"Scomber_colias"	"Chordata"	"Actinopteri"	"Scombriformes"	"Scombridae"	"Scomber"	3
"Scomber_japonicus"	"Chordata"	"Actinopteri"	"Scombriformes"	"Scombridae"	"Scomber"	9
"Scomber_scombrus"	"Chordata"	"Actinopteri"	"Scombriformes"	"Scombridae"	"Scomber"	5
"Scomberomorus_commerson"	"Chordata"	"Actinopteri"	"Scombriformes"	"Scombridae"	"Scomberomorus"	4
"Scombrolabrax_heterolepis"	"Chordata"	"Actinopteri"	"Scombriformes"	"Scombrolabracidae"	"Scombrolabrax"	1
"Scopelengys_tristis"	"Chordata"	"Actinopteri"	"Myctophiformes"	"Neoscopelidae"	"Scopelengys"	2
"Scopelosaurus_lepidus"	"Chordata"	"Actinopteri"	"Aulopiformes"	"Notosudidae"	"Scopelosaurus"	1
"Scophthalmus_maximus"	"Chordata"	"Actinopteri"	"Pleuronectiformes"	"Scophthalmidae"	"Scophthalmus"	2
"Scophthalmus_rhombus"	"Chordata"	"Actinopteri"	"Pleuronectiformes"	"Scophthalmidae"	"Scophthalmus"	3
"Scorpaena_porcus"	"Chordata"	"Actinopteri"	"Perciformes"	"Scorpaenidae"	"Scorpaena"	4
"Scorpaena_scrofa"	"Chordata"	"Actinopteri"	"Perciformes"	"Scorpaenidae"	"Scorpaena"	2
"Scyliorhinus_canicula"	"Chordata"	"Elasmobranchii"	"Carcharhiniformes"	"Scyliorhinidae"	"Scyliorhinus"	2
"Scymnodon_ringens"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Somniosidae"	"Scymnodon"	1
"Sebastes_mentella"	"Chordata"	"Actinopteri"	"Perciformes"	"Sebastidae"	"Sebastes"	2
"Sebastes_norvegicus"	"Chordata"	"Actinopteri"	"Perciformes"	"Sebastidae"	"Sebastes"	2
"Sebastes_viviparus"	"Chordata"	"Actinopteri"	"Perciformes"	"Sebastidae"	"Sebastes"	3
"Selar_boops"	"Chordata"	"Actinopteri"	"Carangiformes"	"Carangidae"	"Selar"	1
"Selar_crumenophthalmus"	"Chordata"	"Actinopteri"	"Carangiformes"	"Carangidae"	"Selar"	4
"Seriola_dumerili"	"Chordata"	"Actinopteri"	"Carangiformes"	"Carangidae"	"Seriola"	3
"Seriola_rivoliana"	"Chordata"	"Actinopteri"	"Carangiformes"	"Carangidae"	"Seriola"	7
"Serranus_atricauda"	"Chordata"	"Actinopteri"	"Perciformes"	"Serranidae"	"Serranus"	2
"Serranus_cabrilla"	"Chordata"	"Actinopteri"	"Perciformes"	"Serranidae"	"Serranus"	3
"Serranus_hepatus"	"Chordata"	"Actinopteri"	"Perciformes"	"Serranidae"	"Serranus"	2
"Serranus_scriba"	"Chordata"	"Actinopteri"	"Perciformes"	"Serranidae"	"Serranus"	1
"Serrivomer_beanii"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Serrivomeridae"	"Serrivomer"	2
"Setarches_guentheri"	"Chordata"	"Actinopteri"	"Perciformes"	"Setarchidae"	"Setarches"	1
"Sigmops_bathyphilus"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Gonostomatidae"	"Sigmops"	1
"Silurus_glanis"	"Chordata"	"Actinopteri"	"Siluriformes"	"Siluridae"	"Silurus"	7
"Simenchelys_parasitica"	"Chordata"	"Actinopteri"	"Anguilliformes"	"Synaphobranchidae"	"Simenchelys"	4
"Similiparma_hermani"	"Chordata"	"Actinopteri"	"Ovalentaria"	"Pomacentridae"	"Similiparma"	1
"Solea_senegalensis"	"Chordata"	"Actinopteri"	"Pleuronectiformes"	"Soleidae"	"Solea"	3
"Solea_solea"	"Chordata"	"Actinopteri"	"Pleuronectiformes"	"Soleidae"	"Solea"	2
"Somniosus_microcephalus"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Somniosidae"	"Somniosus"	5
"Sparisoma_cretense"	"Chordata"	"Actinopteri"	"Eupercaria"	"Scaridae"	"Sparisoma"	1
"Sparus_aurata"	"Chordata"	"Actinopteri"	"Eupercaria"	"Sparidae"	"Sparus"	4
"Speleogobius_trigloides"	"Chordata"	"Actinopteri"	"Gobiiformes"	"Gobiidae"	"Speleogobius"	1
