"Species"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"total_sequences"
"Centrophorus_squamosus"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Centrophoridae"	"Centrophorus"	3
"Centroscyllium_fabricii"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Etmopteridae"	"Centroscyllium"	1
"Centroscymnus_crepidater"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Somniosidae"	"Centroscymnus"	1
"Centroscymnus_owstonii"	"Chordata"	"Elasmobranchii"	"Squaliformes"	"Somniosidae"	"Centroscymnus"	2
"Cepola_macrophthalma"	"Chordata"	"Actinopteri"	"Eupercaria"	"Cepolidae"	"Cepola"	6
"Ceratias_uranoscopus"	"Chordata"	"Actinopteri"	"Lophiiformes"	"Ceratiidae"	"Ceratias"	2
"Ceratoscopelus_maderensis"	"Chordata"	"Actinopteri"	"Myctophiformes"	"Myctophidae"	"Ceratoscopelus"	2
"Ceratoscopelus_warmingii"	"Chordata"	"Actinopteri"	"Myctophiformes"	"Myctophidae"	"Ceratoscopelus"	4
"Cetonurus_globiceps"	"Chordata"	"Actinopteri"	"Gadiformes"	"Macrouridae"	"Cetonurus"	2
"Cetorhinus_maximus"	"Chordata"	"Elasmobranchii"	"Lamniformes"	"Cetorhinidae"	"Cetorhinus"	25
"Cetostoma_regani"	"Chordata"	"Actinopteri"	"Beryciformes"	"Cetomimidae"	"Cetostoma"	3
"Chaenophryne_draco"	"Chordata"	"Actinopteri"	"Lophiiformes"	"Oneirodidae"	"Chaenophryne"	1
"Chaetodon_hoefleri"	"Chordata"	"Actinopteri"	"Acanthuriformes"	"Chaetodontidae"	"Chaetodon"	1
"Chaetodon_larvatus"	"Chordata"	"Actinopteri"	"Acanthuriformes"	"Chaetodontidae"	"Chaetodon"	1
"Chaetodon_robustus"	"Chordata"	"Actinopteri"	"Acanthuriformes"	"Chaetodontidae"	"Chaetodon"	1
"Champsodon_nudivittis"	"Chordata"	"Actinopteri"	"Acropomatiformes"	"Champsodontidae"	"Champsodon"	1
"Champsodon_vorax"	"Chordata"	"Actinopteri"	"Acropomatiformes"	"Champsodontidae"	"Champsodon"	1
"Chanos_chanos"	"Chordata"	"Actinopteri"	"Gonorynchiformes"	"Chanidae"	"Chanos"	7
"Chauliodus_danae"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Stomiidae"	"Chauliodus"	2
"Chauliodus_sloani"	"Chordata"	"Actinopteri"	"Stomiiformes"	"Stomiidae"	"Chauliodus"	6
"Chaunax_pictus"	"Chordata"	"Actinopteri"	"Lophiiformes"	"Chaunacidae"	"Chaunax"	2
"Cheilodipterus_novemstriatus"	"Chordata"	"Actinopteri"	"Kurtiformes"	"Apogonidae"	"Cheilodipterus"	2
"Cheilopogon_exsiliens"	"Chordata"	"Actinopteri"	"Beloniformes"	"Exocoetidae"	"Cheilopogon"	2
"Cheilopogon_heterurus"	"Chordata"	"Actinopteri"	"Beloniformes"	"Exocoetidae"	"Cheilopogon"	1
"Cheilopogon_pinnatibarbatus"	"Chordata"	"Actinopteri"	"Beloniformes"	"Exocoetidae"	"Cheilopogon"	5
"Chelidonichthys_cuculus"	"Chordata"	"Actinopteri"	"Perciformes"	"Triglidae"	"Chelidonichthys"	3
"Chelidonichthys_lastoviza"	"Chordata"	"Actinopteri"	"Perciformes"	"Triglidae"	"Chelidonichthys"	3
"Chelidonichthys_lucerna"	"Chordata"	"Actinopteri"	"Perciformes"	"Triglidae"	"Chelidonichthys"	3
"Chelon_auratus"	"Chordata"	"Actinopteri"	"Mugiliformes"	"Mugilidae"	"Chelon"	4
"Chelon_dumerili"	"Chordata"	"Actinopteri"	"Mugiliformes"	"Mugilidae"	"Chelon"	2
"Chelon_labrosus"	"Chordata"	"Actinopteri"	"Mugiliformes"	"Mugilidae"	"Chelon"	7
"Chelon_ramada"	"Chordata"	"Actinopteri"	"Mugiliformes"	"Mugilidae"	"Chelon"	6
"Chelon_saliens"	"Chordata"	"Actinopteri"	"Mugiliformes"	"Mugilidae"	"Chelon"	2
